caption,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13
“I like this place and could willingly waste my time in it.” - WIlliam Shakespear | 📷 @earth.to.allie_ | Featured pack from the Daylite Series | #OspreyPacks,OspreyPacks,,,,,,,,,,,,,
"There’s no mistaking it—thru-hiking is a big commitment. There are many miles, many meals and many memories to share together. Picking the right partner(s) to go “thru” it with is critical, which is why we’ve stacked the odds in our favor. We’ve put everything we know about lightweight materials, comfortable suspension and stable fit into our Exos/Eja ultralight backpacking packs. 
 
If you’ve got a big journey ahead of you, we’re here every step of the way. 

Learn more and shop the Exos/Eja series via the link in our bio.

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
Sunday strolls are always better with a friend. | 📷 @im.sonulall | Featured pack from the Hikelite Series | #OspreyPacks,OspreyPacks,,,,,,,,,,,,,
"""We could pretend this town was ours, but really it was just on loan."" - Jennifer Close | 📷 @knuds | Featured pack from the Talon/Tempest Series | #OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Bring that ""top of the world"" feeling into this week with you. | 📷 @wanderlikeus | Featured pack from the Talon/Tempest Series | #OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"“I recognized I needed to be part of the solution if I wanted more inclusivity for women in the sport overall.” – Jessica Baker @skidiva, #OspreyAthlete

Growing up, Jessica Baker discovered a love for skiing—even if her first day on the slopes didn’t go swimmingly. As an adult, competing and guiding on some of the most beautiful mountains here and abroad, she recognized a gap in the industry: there weren’t many female leaders to show her the way. Her solution? Ski Divas. 

Baker has become the leader she wishes she always had, leading other women from all backgrounds on memorable ski retreats and organizing the industry’s first BIWOC ski camps—with the next one coming up this month. 

Learn more through the link in our bio. 
📷 courtesy of the Ski Divas LLC photo collection | #OspreyPacks",OspreyAthlete,OspreyPacks,,,,,,,,,,,,
“Somewhere between the bottom of the climb and the summit is the answer to the mystery why we climb.” – Greg Child | 📷 @peakstratagem | #OspreyPacks,OspreyPacks,,,,,,,,,,,,,
"What is it about New Year’s that’s so special? 
It’s not the ball drop, the bubbly drinks, the midnight kiss, Auld Lang Syne or even the silly New Year’s Eve glasses—though we love all of that too. 
No. It’s the fresh start, the blank slate, the year of possibility ahead. 
So, set goals, build intentions and dream ahead to all of the places you’ll go, trails you’ll explore, climbs you’ll send, drops you’ll land and peaks you’ll conquer with us in 2022. 
The good days are made. What’ll you do with all 365 ahead?",,,,,,,,,,,,,,
“Each fresh peak ascended teaches something.” - Martin Conway | 📷 @wanderlustness | Featured pack from the Talon/Tempest Series | #OspreyPacks,OspreyPacks,,,,,,,,,,,,,
"“I am no bird; and no net ensnares me: I am a free human being with an independent will.” —Charlotte Brontë, Jane Eyre | #OspreyAmbassador @elizasampey | 📷 @jeffreycreamer | Featured pack from the Aether/Ariel Pro Series | #OspreyPacks",OspreyAmbassador,OspreyPacks,,,,,,,,,,,,
"That taking your new pack out for its first adventure feeling. Don't worry, it feels just as great on it's 100th. | #OspreyAmbassador @amira.silverman | Featured pack from the Atmos/Aura AG Series | #ospreypacks",OspreyAmbassador,ospreypacks,,,,,,,,,,,,
"Winter in the backcountry is a special thing around here in the southwest and across the U.S. It’s important to recognize the organizations dedicated to helping preserve our access, protect our environment and provide education—allowing us to continue safely enjoying this remarkable time of year, for years to come.

Join us in spotlighting a few of our favorite non-profit organizations helping us make the most of our cherished winters.

📷 1: @winterwildlandsalliance 2: @friendsofthesanjuans 3: @protectourwinters",,,,,,,,,,,,,,
"Remember, all those holiday engagements eventually turn into summer weddings. Congrats to all the newly engaged and wed! | 📷 @damianattsu | Featured Pack from the Aether/Ariel Series | #OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"It doesn’t matter where you’re from, who you are or what traditions you hold, we wish you and yours a wonderful holiday season. From ski slopes and sled rides to family travel, we hope we’ve played our small part to make this special time of year memorable. 

The good days are made, and these are some of the best.

#ospreypacks",ospreypacks,,,,,,,,,,,,,
Snowy ridgelines just hit different. | 📷 @mrb_captures | Featured Pack from the Exos/Eja Series | #OspreyPacks,OspreyPacks,,,,,,,,,,,,,
Ready for long strides and big splashes in 2022 with #OspreyAthlete @narrowgreenarrow | 📷 @stevenmortinson | Featured pack from the Talon/Tempest Pro Series | #ospreypacks #OspreyAthlete,OspreyAthlete,ospreypacks,,,,,,,,,,,,
"""The important thing is to pull yourself up by your own hair to turn yourself inside out and see the whole world with fresh eyes."" — Peter Weiss | 📷 @horizontmomente | Featured pack from the Talon/Tempest Series | #OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"“Skis are not just pieces of wood, steel & fiberglass. They are tools for escape, a medium for personal expression, a way to challenge fears, push limits and share incredible experiences with your friends.” - Unknown | 📷 @mimaadennis | Featured pack from the Poco Plus Series | #OspreyPack",OspreyPack,,,,,,,,,,,,,
You don't have to go it alone. Grab a friend and get out there. | 📷: #OspreyAmbassadors @shashankvijayphotos and @backpackerbhav | Featured packs from the Rook/Reen & Archeon Series | #OspreyPacks,OspreyAmbassadors,OspreyPacks,,,,,,,,,,,,
"In an effort to bring more opportunity, diversity, and inclusivity to winter outdoor recreation spaces, #OspreyAthlete, Jessica Baker (@skidiva), will offer the 2nd annual ski camp specifically for Black, Indigenous, and Women of Color (BIWOC), from March 11-13, 2022. Attendees will spend three days skiing in the Tetons near Jackson, WY learning how to ski or improving their skills if already an experienced skier. The final day of the camp will feature a backcountry component including avalanche education, and how to safely travel in the backcountry. Osprey, along with supporting sponsors, are pitching in to offer several full-ride scholarships for women to attend this camp. Learn more through the link our bio! | 📷 @marykmcintyre | #ospreypacks #ospreyathlete","OspreyAthlete,",ospreypacks,ospreyathlete,,,,,,,,,,,
“Do not view mountains from the scale of human thought.” – Dogen | “Do not view mountains from the scale of human thought.” – Dogen | 📷  by @kroshka_keksik | Featured pack | #ospreypacks,ospreypacks,,,,,,,,,,,,,
"“If you have ever followed a rainbow to its end, it leads you to the ground on which you are standing.” - Alan Cohen | 📷 @killaexpeditions| Featured pack from the Exos/Eja Series | #ospreypacks",ospreypacks,,,,,,,,,,,,,
"“Every child needs a parent, grandparent or friend who will say let’s go it’s time for an adventure.” - Penny Whitehouse | 📷 @eric__pichardo | Featured pack from the Poco Series | #ospreypacks #ospreyambassador",ospreypacks,ospreyambassador,,,,,,,,,,,,
The loyal companionship of dogs on our outdoor adventures is unbeatable. | 📷 by @irsksettere | Featured pack from the Daylite Waist Series | #ospreypacks,ospreypacks,,,,,,,,,,,,,
"“The mountains have rules. they are harsh rules, but they are there, and if you keep to them you are safe. A mountain is not like men. A mountain is sincere. The weapons to conquer it exist inside you, inside your soul.” - Walter Bonatti | 📷 @hugo_hezyl | Featured pack from the Kestrel/Kyte Series | #ospreypacks",ospreypacks,,,,,,,,,,,,,
"No long hike is complete without the right gear. Join us in supporting the Continental Divide Trail Coalition (@cdtcoalition) and contribute $250 or more by December 31st to receive a FREE Osprey Daylite Tote Pack! Your contribution will help the CDTC complete and protect this 3100 mile long trail. Learn more at the link in our bio. | 📷 1: @dahnhikes | 📷 2: @dg.alfresco

#BraveTheCDT #ContinentalDivideTrail #CDT2021 #CDT2022 #WeAreTheOutdoorFUTURE #SupportTheCDT #ospreypacks",BraveTheCDT,ContinentalDivideTrail,CDT2021,CDT2022,WeAreTheOutdoorFUTURE,SupportTheCDT,ospreypacks,,,,,,,
"""Some experiences feed the soul; you get pushed past the limits you’ve set for yourself and you realize you're capable of much more than you think."" | 📷 by @twogirlsonesummit | Featured pack from the Atmos/Aura Series | #ospreypacks",ospreypacks,,,,,,,,,,,,,
"“All you have to do is contemplate a simple grain of sand, and you will see in it all the marvels of creation.” - Paulo Coelho | 📷  #OspreyAmbassador @vernankee | Featured pack from the Archeon Series | #ospreypacks",OspreyAmbassador,ospreypacks,,,,,,,,,,,,
"“So at the end of this day, we give thanks for being betrothed to the unknown.” - John O'Donohue | 📷 @birgit.lost.in.nature | Featured pack from the Atmos/Aura AG Series | #ospreypacks",ospreypacks,,,,,,,,,,,,,
"Whether you’re breaking bread or breaking trail, ‘tis the season for soaking in the moment. What better way to celebrate the present than giving a gift that delivers experiences of every size? From a night at the 5 million-star “hotel” to a long weekend visiting family to solitude in the mountains—our gifts are the gateway to the best moments of the season. 

Inspire holiday adventure—shop for the season at the link in our bio.

#ospreypacks",ospreypacks,,,,,,,,,,,,,
"#OspreyAthlete @paysonmcelveen cycled across the entire country of Iceland from North to South, marking the first historically recorded human powered traverse across the country in a single push. Through a brutal storm and wild terrain, you can watch “Crossing Iceland” via the link in our bio. | 🎥 Stachehouse Productions | #ospreypacks #ospreyathlete",OspreyAthlete,ospreypacks,ospreyathlete,,,,,,,,,,,
"""Beauty and seduction, I believe, is nature's tool for survival, because we will protect what we fall in love with."" - Louie Schwartzberg | 📷  by @ztesch12 | Featured pack from the Stratos/Sirrus Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“There are no shortcuts to any place worth going.” - Beverly Sills | 📷 by @miamurr | Featured pack from the Poco Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"#OspreyAthlete @paysonmcelveen cycled across Iceland back in September: 257 miles from the northern coastal town of Akureyri to the southern most coastal town of Vík. 19:45 traversing rugged, exhausting, inspiring terrain. | 📷 by @arctic_defender | #ospreypacks",OspreyAthlete,ospreypacks,,,,,,,,,,,,
"""I am so proud to announce that 14 Peaks is now out to watch on Netflix. This film means the world to me and I’m so happy you all get to see it. ⁠
⁠
I want to inspire everyone that watches 14 Peaks to know that you can achieve your dreams – nothing is impossible. Believe in yourself, be humble, work hard and you can create your own path to get there.” Osprey Ambassador, @nimsdai ⁠
⁠
Stream now on @netflix and let us know in the comments how the film has inspired you ⬇️⁠
⁠
@nimsdai @netflix @netflixfilm #OspreyEurope #OspreyAmbassador #14peaksnothingisimpossible #14peaks #nothingisimpossible #ospreypacks",OspreyEurope,OspreyAmbassador,14peaksnothingisimpossible,14peaks,nothingisimpossible,ospreypacks,,,,,,,,
"""The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun."" - Christopher McCandless | 📷  by #ospreyambassador @vincentschnabl | Featured pack from the Rook/Renn Series 
#ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
Double the adventures. Double the fun. | 📷 by @elinjnilsson | Featured pack from the Poco Series | #ospreypacks,ospreypacks,,,,,,,,,,,,,
"Our Winter Sale ends tonight! Head to the link in our bio to make the most of our powder-deep discounts, up to 40% off, while they last.
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“When you do something noble and beautiful and nobody noticed, do not be sad. For the sun every morning is a beautiful spectacle and yet most of the audience still sleeps.” - John Lennon | 📷 by @ruggedphotography | Featured pack from the Stratos/Sirrus Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""The antidote to exhaustion isn’t rest. It’s nature.” - Shikoba | 📷 by @yossikievman
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"We are proud to support the new @conservationlands & Conservation Science Partners #ClimateAtlas, a first-of-its-kind publicly available online mapping tool for tracking the climate and conservation values of more than 440 million acres in the U.S. Head to the link in our bio to learn more!
#ClimateChange #PublicLands #ospreypacks","ClimateAtlas,",ClimateChange,PublicLands,ospreypacks,,,,,,,,,,
"Our Daylite Family has built a reputation of quality, versatility and vibrancy. It’s a delightful collection of packs, duffels, slings and totes designed for your every-day, everywhere. Enjoy that same dedication to craft, no matter where your journey takes you, with Daylite travel packs and duffels. Head to the link in our bio to Shop Daylite Family!
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“Joy is what happens to us when we allow ourselves to recognize how good things really are."" - Marianne Williamson | 📷  by @sara_emtb | Featured pack from the Daylite Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Should you shield the canyons from the windstorms you would never see the true beauty of their carvings."" - Elisabeth Kübler-Ross | 📷 by @roamingscott | Featured packs from the Talon/Tempest and Kids Hydrajet Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.” -  T. S. Eliot | 📷  by @yahonglin | Featured pack from the Kestrel/Kyte Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Who's excited for pillowy turns like this? Osprey Athlete Sven Brunso has us planning our next backcountry escape. 😍
#ospreyathlete #ospreypacks",ospreyathlete,ospreypacks,,,,,,,,,,,,
"“Hiking and happiness go hand in hand or foot in boot.” - Diane Spicer | 📷 by @nateintheclouds | Featured pack from the Aether/Ariel Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"BIG gratitude for access to wild places, fresh air to breathe, time to unplug, and expansive landscapes to explore. Anyone else feeling this? | 📸 @maquiaz | Featured pack from the Talon/Tempest Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""What advice would you give to someone who’s JUST getting started hiking, to encourage and support them?

I began my hiking career on the trails at Oconee Forest Park, a small wooded area behind the intramural sports fields at the University of Georgia. I didn’t really know what hiking was back then, and I didn’t own 'hiking clothes' or trail maps. It was basically impossible to get lost there, due to the small nature of it and the fact that every trail led back to a parking lot. I spent countless hours winding through the woods with my dogs, the trees a refuge from having my nose in textbooks and sitting under fluorescent lights in classrooms. There were no grand views, waterfalls, or picturesque destinations. Just woods, a stream, bugs and wildlife, and dirt beneath my feet.

My biggest piece of advice for someone who’s just starting is to just GO. The destination doesn’t have to be awe-inspiring. The hike doesn’t have to be epic. If you don’t know how to read a map, go where you don’t need one. You don’t have to have the best gear or even the right shoes. Find a safe wooded area near your home, wear whatever you already own, lace up whatever shoes you’ve got, and take a walk. Spend time with dirt under your feet and wind on your skin. Taste and smell the aroma of the trees and plants around you. Get used to the way your body moves on uneven terrain. Find your stride. Learn your pace and your stamina. Start where you’re at."" - @adventurelikeagirl | 📷 by @emtrod90 | Featured pack from the Manta/Mira Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“There is a way that nature speaks, that land speaks. Most of the time we are simply not patient enough, quiet enough, to pay attention to the story.” - Linda Hogan | 📷 by @outdoorsbanana | Featured pack from the Talon/Tempest Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Whether you’re breaking bread or breaking trail, ‘tis the season for soaking in the moment. What better way to celebrate the present than giving a gift that delivers experiences of every size? From a night at the 5 million-star “hotel” to a long weekend visiting family to solitude in the mountains—our gifts are the gateway to the best moments of the season. 

Inspire holiday adventure—shop for the season at the link in our bio. 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"From backpacks and duffels to slings and totes, the Daylite® Family is built for every day and everywhere. With everything these bags can do, your only decision is which one to bring. Shop the collection at the link in our bio!
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"We're loving these trail moments from our Over 50 Outside community! Each week, more than 150 women over 50 from around the country head outside to hike, grow their confidence, feel more empowered, strengthen their support systems, and build new friendships in partnership with Osprey, @obozfootwear, @outdoorresearch, @insolidarityproject, and @52hikechallenge. We're incredibly proud to support this community and connect these women with the transformative power of the outdoors. | 📷 by @outdoormochadivas & @mandymejiaz 
#over50outside #ospreypacks",over50outside,ospreypacks,,,,,,,,,,,,
"We are excited to announce that the trailer for Nims' 14 Peaks: Nothing is Impossible is out now.

14 Peaks: Nothing Is Impossible explores Nepal’s deep connection to high-altitude mountaineering through the eyes of Nirmal “Nimsdai” Purja, a fearless, fun-loving Nepali climber on a quest he dubs “Project Possible”—to summit all 14 of the world’s 8,000-meter mountains in just seven months, breaking the previous record of seven years. With a team of skilled Sherpas, he traverses Mount Everest, K2, and other iconic peaks through extreme weather, life-or-death decisions, and the emotional weight of his mother’s illness back home. 14 Peaks is a thrilling, action-packed story about courage, perseverance, and pushing the limits of human endurance. Written, directed, and produced by Torquil Jones. Executive produced by Jimmy Chin and Elizabeth Chai Vasarhelyi. Produced by Noah Media Group and Little Monster Films.

#14peaksnothingisimpossible #14peaks #nothingisimpossible #nimsdai #nimspurja #ospreypacks",14peaksnothingisimpossible,14peaks,nothingisimpossible,nimsdai,nimspurja,ospreypacks,,,,,,,,
"“I believe the best way to begin reconnecting humanity's heart, mind, and soul to nature is for us to share our individual stories.” - J. Drew Lanham | 📷 by @sgoldk | Featured pack from the Kamber/Kresta Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"It’s quiet in the backcountry. Exquisite. Pristine. Gravity—your adversary turned ally—promises to reward each stride you take up these snow-packed slopes. You’ll soon fill these mountains with hoots and hollers, heart pumping, as you point your tips and lose yourself to the miles of earned bliss ahead. 

Shop the Soelden/Sopris Pro Series at the link in our bio—with its dynamic fit, form and function, it’s designed for days like this. 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“Time spent amongst trees is never wasted time.” - Katrina Mayer | 📷 by @hikeswithkiki | Featured pack from the Stratos/Sirrus Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""The world is big, you are small, but you are still going to change it."" - @loganscotthammond | 📷 by @loganscotthammond | Featured pack from the Aether/Ariel Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"This week, we’ve teamed up with a coalition of Conservation Alliance member companies to give back to wild places. From November 8–14, we’ll be donating 5% of our online sales to support their vision of a planet where wild places, wildlife, and people thrive together. With a proven track record of securing new protections for mountains, rivers, forests, deserts, trails, parks, and open spaces, The Conservation Alliance invests in the most critical grassroots land and water conservation projects in North America. Your purchase will directly help their work go even further. To learn more and to shop the coalition sale, visit the link in our bio. | 📷 by @uncagethesoul
#wekeepitwild #ospreypacks",wekeepitwild,ospreypacks,,,,,,,,,,,,
"“Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.” - C. JoyBell C. | 📷 by #ospreyambassador @lindsayontherocks | Featured pack from the Mutant Series 
 #ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"At Osprey, we wear our patches and stitches with pride. Each and every one is a story to be told, a reminder or perhaps an inside joke, all told in innuendo. Remember that time when ... ? 

This Black Friday, we encourage you to join us in saying “in with the old.” It’s the perfect time of year to send in your Osprey packs to our talented repair team, so we can give them new life for the new year ahead. We repair any damage or defect, free of charge, under our All Mighty Guarantee. Any reason. Any product. Any era. Head to the link in our bio to get started! 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Flyfishing hack... carry your net man on your back so you have two hands during the fight. 🎣 "" - @poconorambler | 📷 by @poconorambler | Featured pack from the Poco Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Our Winter Sale is here with a wonderful travel collection for your adventures this season and the next. Enjoy powder-deep discounts, up to 40% off, only through Nov. 29. Head to the link in our bio to shop!
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Everything in nature invites us constantly to be what we are."" - Gretel Ehrlich | 📷 by @rhian_nicola7 | Featured pack from the Hikelite Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Thought I’d never do this, but look at me now! Sums up how I’m feeling these days! It’s funny how a feeling can go such a long way in life. Like the feeling of hiking a mountain. Sitting at the top and looking out over the world. Thinking about your entire life and how you got there. The feeling is so surreal to think about where I was just 5, 6, 7 years ago. The smallest moments can change you in the biggest ways! For better or worse. But truly, I never thought I would be here... but look at me now! So proud of the woman I am today and I can confidently hold my head high and say it loud and proud! Be your own you. Be proud of even the smallest successes. Stand tall for what you believe in. And sometimes you just gotta jump, and take those risks!"" - @rebeccafairburn | Featured pack from the Talon/Tempest Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"When Osprey Athlete Madison Ostergren made her way to Oregon this past summer to help a friend move, she didn’t plan on buying a short bus on a whim. She certainly didn’t plan on it needing two weeks of work to get it road ready for the drive back home. With time to kill, she enlisted a couple friends to climb and ski the snow-capped peaks of Mt. Hood and Mt. Adams. Head to the link in our bio to learn more about Madison's unexpected adventure.
#ospreyambassador #ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"""It’s a long road ahead, but I promise to be next to you every step of the way. 🤟🏼"" - #ospreyambassador @eric__pichardo | Featured packs from the Savu and Kid's Jet Series 
#ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"“The most beautiful thing in the world is, of course, the world itself."" - Wallace Stevens | 📷  by @natascha_nl | Featured pack from the Stratos/Sirrus Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"The Full Circle Everest expedition will make history as the first Black climbing team to attempt to summit the highest mountain on earth. As of 2020 there have been more than 10,000 summits of the mountain. To our knowledge, only 8 Black climbers have stood on the top of Everest. This expedition will permanently change the future of mountaineering on a global scale. Help support @fullcircleeverest at the link in our bio!
#fullcircleeverest #ospreypacks",fullcircleeverest,ospreypacks,,,,,,,,,,,,
"""You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You must do the thing which you think you cannot do."" - Eleanor Roosevelt | 📷  by @shibe._.life | Featured pack from the Volt/Viva Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Osprey Athlete Jessica Baker's got us dreaming about earning some early season backcountry turns. | Featured pack from the Mutant Series 
#ospreyambassador #ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"Mountain biking is a technical and demanding sport—but most great riders (and coaches) will tell you that much of the secret to mountain biking success is feeling confident. Confidence on the mountain bike means knowing your limits, and constantly working on your limiters. Check out the link in our bio for 7 ways to gain confidence on a mountain bike while growing your technical and fitness-based capabilities. 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Worrying about your gear is the last thing you want when traveling. When you need luggage and packs you can count on under any circumstance, no matter your destination, the Transporter® Family is ready for the challenge. With robust, TPU-coated fabrics that keep weather at bay and scuffs away, your only concern is which Transporter you want to share your adventure with next. 

Head to the link in our bio to shop Transporter® Family!
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Bring on the crisp leaves, crunchy snow and cooler temps—it’s time to layer up and layer on the adventure! The seasons may be changing, but that doesn’t mean we need to hang up our boots and backpacks ‘til spring. After all, fair weather is just an attitude. Head to the link in our bio to gear up for winter hiking. | 📷 by @stevenmortinson 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“Autumn leaves don't fall, they fly. They take their time and wander on this their only chance to soar.” - Delia Owens | 📷  by @nlafphotography | Featured pack from the Arcane Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"@mor.wild shares tips on how to hike with a little one.
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Traveling—it leaves you speechless, then turns you into a storyteller.” - Ibn Battuta | 📷  by @wiilldatheart | Featured pack from the Atmos/Aura Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Since life is short and the world is wide, the sooner you start exploring it, the better."" - Simon Raven | 📷 by @shoshannah.nz | Featured pack from the Stratos/Sirrus Series #ospreypacks",ospreypacks,,,,,,,,,,,,,
"“I am writing this at 11,000 feet. I have not showered in 17 days, and I am about as happy as I've ever been in my life. If someone had told me 3 weeks ago all of the things that I would experience, I probably would have been too scared to do it. But standing on the other side of all these hurdles, I have never felt more capable or connected to the outdoors.” 
- Elena Costa-Smith, 2020 Rocky Mountain Field Institute Earth Corps Field Studies Student

Rocky Mountain Field Institute (RMFI) is celebrating 40 years of conservation impact and stewardship of our public lands. Based in Colorado Springs, the non-profit has evolved over the years from a climbing access foundation to a conservation institute, providing volunteer-based trail and restoration projects, research and environmental education. Learn more about their mission and why it matters at the link in our bio! 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Kids can be so curious, so creative and so insightful in the way they embrace that wonder and excitement for a world outdoors. They have the unique ability to see things with new eyes, and remind us to do the same from time to time. Make sure they never outgrow their sense of adventure, or the gear that helps them wield it. Head to the link in our bio to shop Kids Packs—designed to meet them at their level, and grow with them as their appetite for adventure blossoms. 

#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Today, we’re celebrating the restoration of Bears Ears, Grand Staircase-Escalante and Northeast Canyons and Seamounts National Monuments. Not only is this a landmark decision for the conservation of these cherished monuments—it is a tremendous win for the Native Americans, whose culture, history and heritage are tied to and preserved throughout these sacred places, as well as our partners who are committed to the protection of our public lands. 

We cannot be more proud of the Bears Ears Inter-Tribal Coalition—the many tribes whose voices have been heard—for fighting for this decision, and of our first Native American Secretary of the Interior, Deb Haaland, who helped advocate for their cause. It is a demonstration of how critical native representation is for this nation, and we are thrilled that they will be directly involved with the management of these lands moving forward. 

#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Joys come from simple and natural things; mist over meadows, sunlight on leaves, the path of the moon over water. Even rain and wind and stormy clouds bring joy."" - Sigurd F. Olson | 📷  by @marie.on.the.move | Featured pack from the Talon/Tempest Series #ospreypacks",ospreypacks,,,,,,,,,,,,,
"Sometimes our routines are less than routine. Whether it’s a stormy commute, a too-tempting puddle, a dropped coffee or a leaky water bottle, it pays to keep your gear and equipment dry and safe. That’s why we’ve developed our Transporter® lifestyle packs with sustainable, rugged, weatherproof materials. With the right gear, the unexpected is just water off our backs. Shop Transporter® Collection at the link in our bio! 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"“I’ve fallen in love with adventures, so I begin to wonder, if that’s why I’ve fallen for you.” - E. Grin | 📷 by @dfcornish 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""I still remember being awestruck the first time I visited this incredible beach in 2012! The biggest attraction is this monolithic rock with an arch through which the water gushes onto the beach. What some of you might have missed is the pink/purple sand that makes it all the more special. The color is due to the manganese garnet deposits coming from its neighboring hills."" - #ospreyambassador @backpackerbhav | 📷 by #ospreyambassador @shashankvijayphotos | Featured pack from the Skarab/Skimmer Series 

#ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"Ever since losing his legs to an IED in Iraq in 2005, Retired Army Specialist Scott West knew he wanted to climb Kilimanjaro, proving to himself and other veterans what’s possible when you set your mind to it. 

This past August, a team of military veterans, including West, traveled to Africa’s tallest peak to send a message of hope and resilience to the thousands of people who struggle after their careers in service end. 

The trek would prove more challenging than anyone anticipated, testing the team’s spirits, willpower and physical abilities along the way. Read the story at the links in our bio.
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"""Dogs are not our whole life, but they make our lives whole.” - Roger Caras. | 📷  by @vicpattemore | Featured pack from the Kestrel/Kyte Series #ospreypacks",ospreypacks,,,,,,,,,,,,,
"“It is in our nature to explore, to reach out into the unknown. The only true failure would be not to explore at all.” - Ernest Shackleton | 📷 by @travelandtalks | Featured pack from the Katari/Kitsuma Series 
#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Making tasty, homemade dehydrated meals is easier than you think! We love that these backpacking and camping-ready concoctions allow you to add all the ingredients you love and none that you don’t. Learn how to get started with Osprey Ambassador @marynsimrak and check out a couple of simple and delicious recipes at the link in our bio! #ospreypacks #ospreyambassador",ospreypacks,ospreyambassador,,,,,,,,,,,,
"Osprey Athletes Rachel Drake and Tyler Green with their pup Teddy showing us the fastest way down the mountain. How do you prepare for the backcountry? | 📷  by @stevenmortinson
#ospreyambassador #ospreypacks",ospreyambassador,ospreypacks,,,,,,,,,,,,
"We believe the simplest of things can make all the difference, whether on your casual day-to-day or adventurous travels away. That’s why we designed the Daylite® Family travel line—simple to use and ready for your next trip down the road, across the country or abroad. Shop the Full Daylite® Family at the link in our bio! #ospreypacks",ospreypacks,,,,,,,,,,,,,
"Each year, a group of folks band together to climb Mt. Shasta in northern California in the name of breast cancer prevention. Representing Breast Cancer Prevention Partners, one of the nation’s leading non-profit organizations focused on breast cancer prevention and environmental health, these climbers take on the 14,174-foot summit of California’s 5th highest peak while collecting donations that go directly towards science, education and legislation during @bcppartners annual Climb Against the Odds event. Learn more about their efforts at the link in our bio! #ospreypacks",ospreypacks,,,,,,,,,,,,,
