caption,answer
Golden hour jaunts through the forest? Sign us up. | 📷 @stephenshelesky of #OspreyAthlete @madisonnnrose | Featured pack from the Talon/Tempest Pro Series | #OspreyPacks,write a caption for a backpack post featuring a photo in the forest
Great experiences await you around every corner. | 📷 @darrelcomeau | Featured pack from the Talon/Tempest Series | #OspreyPacks,write a caption for a backpack photo with the Talon/Tempest Series
"How can we foster a community of openness in the outdoors? As we work toward creating a more inclusive outdoor environment, we take inspiration from our longtime partner @theventureoutproject.

Through outdoor activities, The Venture Out Project works to create an inclusive community and supportive environment for LGBTQ+ people. Their mission to provide a safe and fun space to experience the natural world is something we fully support. In celebration of Pride Month, we’re donating $5,000 to this inclusive organization.

Learn more about @theventureoutproject and join us in supporting their work via the link in our bio! #OspreyPacks",write instagram post about supporting LGBTQ+ community with backpack connection
"We love supporting our #OspreyAthletes in leading others on adventures and teaching skills that will get folks outside more. @highsteph leads desert climbing clinics multiple times a year and this April was full of so much joy and companionship while building climbing skills together. Between perfect spring weather and some classic surprise snow storms, the participants including couples, BFFs, returning participants, and a mom/daughter team walked away with a new bank of knowledge to make for more fun and safety on belay.

#OspreyPacks #OspreyAthlete",write a post about a climbing clinic with Osprey backpacks
"Upgrade your carry with our Spring Into Summer Sale collection, featuring technical backpacking packs, hiking packs, lifestyle and more through May 30th. 

Shop our Spring Into Summer Sale via the link in our bio. #OspreyPacks",write a promotional post for the Spring Into Summer Sale featuring backpacks
"“Every bird, every tree, every flower reminds me what a blessing and privilege it is just to be alive.” – Marty Rubin | 📷 @allpointswes | Featured pack from the Stratos/Sirrus Series | #OspreyPacks",write a caption for a backpack post with nature quote
"The drive-in theater posted its movie lineup, you’re planning a road trip and the river is running—a summer of adventure is right around the corner.

Whether your escapades take you on a bike ride to your farmer’s market or on a bucket-list hike in a foreign country, our multitalented Daylite Family is here for it.

Shop the Daylite family via the link in our bio. #OspreyPacks",write a post about backpacks for summer adventures
"Just a hop, skip, and a jump to your next adventure. | 📷 @lhayes89 | Featured pack from the Talon/Tempest Series | #OspreyPacks",write a short caption for a backpack photo
"Heritage, meet NanoFly—our notably strong, lightweight technical fabric developed for ultimate performance both on and off the grid. Our new, special-edition Heritage NanoFly packs bring the best of classic style into the modern era of material science.

Check it out for yourself via the link in our bio. #OspreyPacks",write a description for the new special-edition Heritage NanoFly packs
The desert has a way of beckoning us back time and time again. | 📷 @FatGirlForThefitSoul | Feature pack from the Hikelite Series | #OspreyPacks,write a caption for a backpack post featuring a photo taken in the desert
Sometimes the most important part of our week is picking which adventure dog photos to sprinkle into your feed. | 📷 @introvertedoutdoors | Featured pack from the Atmos/Aura AG Series | #OspreyPacks,write caption for backpack post with dog photo
On our way to grab a pack from the Step into Summer sale before it ends tonight like... | 📷 @brandbyvikse | Featured pack from the Hikelite Series | #OspreyPacks,write caption for instagram post about backpack sale
Our idea of playing the “slots”. | 🎥 @hudsauce | Featured pack from the Talon/Tempest Series | #OspreyPacks,
Built in best friends for life. | 📷 @mrsdunn1 | Featured pack the Daylite Kid's Series| #OspreyPacks,
"On behalf of the entire Osprey family, we offer our heartfelt congratulations to the Full Circle Everest team (@fullcircleeverest) for their historical ascent of Mt. Everest. 

On May 12, 2022—nearly 60 years after the first American expedition reached the summit of Everest and Dr. Martin Luther King Jr. delivered his “I have a Dream” speech—the Full Circle Everest team became the first all-Black team to summit the tallest mountain on Earth. 

Their successful expedition will not only inspire the next generation of outdoor enthusiasts—it will change the future of mountaineering.

📷 courtesy of Full Circle Everest | #OspreyPacks

🧗🏿: @adreadedclimber @alldayeddie domthesoulifugid @everywhere.rose @fred_climbs @kg_mountain_exp @phil_henderson @playswithmountains @sardina.s @thegreenevan @thomasdmoore",
Alpine lakes + summit pups = recipe for a good day.| 📷 @roaming.with.bandit | Featured pack from the Skarab/Skimmer Series| #OspreyPacks,
"Whether you’re lapping berms and booters at the park or setting cadence on the trail, Raptor/Raven offers no compromises. With an included 2.5-liter reservoir and plenty of space for layers, snacks, spare tubes and more, you’re ready for a full day in the saddle. 

Product Key Features: 
+ Bike-focused suspension for superior stability 
+ Hipbelt pockets for easy-access snack storage 
+ Included tool roll keeps your bike repair essentials organized 
+ LidLock helmet attachment 

Check it out for yourself via the link in our bio! #OspreyPacks",
"Here's to the guides who get us to nearby and far away places safely and with critical education in hand. You're the real MVPs.

📷 #OspreyAmbassador @browngaltrekker | Featured packs from the Exos/Eja, Stratos/Sirrus and Talon/Tempest Series | #OspreyPacks",
"As temperatures begin to soar, so does our appetite for adventure. Whether you’re trying to beat the heat or seek it out, visit new places or familiar faces, we’re here to ease the journey with adventure-worthy luggage and travel packs. 

Shop travel bags via the link in our bio. #OspreyPacks",
"Cheers to all the mothers who kiss scrapped knees, clean up dirty faces, and raise future stewards. | 📷 @smallzadventures | Feature pack from the Poco Plus Series | #OspreyPacks",
It's a tough life being a pup but somebody has to do it. | 📷 @AmbPitch | Featured pack from the Aether/Ariel Plus Series | #OspreyPacks,
"From casual saunters on nearby trails to more endeavored jaunts, the all new Osprey Sportlite is your reliable companion. Tuned for hiking with a sporty, technical design and focused feature set, it’s meant to go far, travel light and keep you comfortable on any terrain. 

Find your Osprey Sportlite via the link in our bio. #OspreyPacks",
"The #Over50Outside cohort is warming up for summer hiking! These are the last few months this group of 150 women has to complete the @52hikechallenge. Last September, they committed to hiking once a week for an entire year. Will they be able to finish off 52 hikes over the next 3.5 months?
 
Our guess is YES! Here are just a few of the moments that so many of them are sharing online. Together, they’re hiking along desert vistas, through deep canyons, along coastal waters, and encouraging each other with in-person meetups and digital social hours.
 
Keep tabs on their journey by following #OutdoorResearch and #Over50Outside. And stay tuned for an extra special end-of-season event we’re cooking up. We can’t wait to see where these ladies explore next.

#OspreyPacks",
"Did you know that we’re proud members of @conservationalliance who recently announced the Dolores River in Colorado as one of their four Advocacy Priority Campaigns for 2022? Beginning high in the San Juan Mountains of southwestern Colorado, it flows 230 miles until it joins the Colorado River in Utah’s red rock desert near Moab. McPhee Dam and Reservoir were built in the 1980’s to support the growing agricultural communities in the region, and to provide much-needed water for the Ute Mountain Ute Tribe in Towaoc. 

This year, they will be joining groups advocating for protection of the lower Dolores River through:

💦  A bill to designate a 75,000-acre National Conservation Area spanning from the base of McPhee Reservoir to the San Miguel/Montrose County line, which includes more than 70 miles of the Dolores River, establishes the Ponderosa Gorge Roadless Area, and protects special river values.

They’re partnering with Dolores River Boating Advocates in the effort to protect this beautiful river and surrounding lands. 
 
To learn more about this campaign and the work that we’re supporting, give them a follow and visit the link in our bio!

📸: @rigtoflip
#wekeepitwild #OspreyPacks",
What bucket list location are you checking off this summer? | 📷 #OspreyAmbassador @nuestrasraicesverdes | Featured pack from the Farpoint/Fairview Series | #OspreyPacks,
"Bikepacking Roots (@bikepackingroots) is accepting applications for their BIPOC Bike Adventure Program from now until May 15th. The program is for BIPOC people of any gender identity, age, class, body size, ability or experience level to pursue any type of bicycle-based adventure. 

Apply now via the link in our bio!
 
#OspreyPacks #bikepacking #adventurecycling #representationmatters #diversifyoutdoors",
"That worn in, seen some stuff, tried and true, trusty pack look. | 📷 @scramblethisuk of @type1_adventurer | Featured pack from the Talon/Tempest Series | #OspreyPacks #OldSchoolOsprey",
"This June, our very own Erin Kuhlman (@erinkuhl93) will travel to California to take on all 14,179 ft of Mount Shasta in the name of Breast Cancer Prevention Partners (@bcppartners), joining a legacy of Osprey employees who have contributed to the cause. Participating in their annual Climb Against the Odds, she’s on the path to raise $6,000+ for breast cancer prevention. 

“I have family that have been exposed to breast cancer … but the reason I wanted to participate in [Climb Against the Odds] is because this is bigger than just climbing a mountain,” Kuhlman says. 

For her, this experience is about creating awareness around breast cancer and how we can better protect people and the environment from its risk factors—including toxic contamination. 

Read her story via the link in our bio. #OspreyPacks",
"""One touch of nature makes the whole world kin."" - William Shakespeare | 📷 @muhammadsidik99 | Featured pack from the Duro/Dyna Series | #OspreyPacks",
"Voluntariosa is the Spanish word for ‘willful’ which is exactly the word that Sara’s family uses to describe her. Follow Sara’s journey through chronic injury, amputation of her leg, and into the mountains, all while fighting for her own mobility every step of the way. Sara now works full time for the Range of Motion Project (@ROMPglobal) in their Quito clinic helping other Ecuadorian amputees get access to prosthetic care and changing their vision of what’s possible post-amputation.
We are proud to partner with the Range of Motion Project on their vision of #mobilityforall and their annual campaign Climbing for ROMP. Full film out now. Watch via the link in our bio.
#voluntariosafilm #mobilityforall #ospreypacks
//
‘Voluntariosa’ en español significa ‘de voluntad férrea’, esta es la palabra que la familia de Sara usa para describirla. Sigue su viaje a través de una lesión crónica, la amputación de su pierna y su camino a las montañas, todo esto mientras lucha por su propia movilidad a cada paso del camino. Sara ahora trabaja para el Proyecto De Rangos en Movimiento (ROMP Ecuador) en su Centro en Quito, ayudando a otros ecuatorianos con amputación en su proceso para obtener acceso a atención protésica y a cambiar su visión de lo que es posible después de la amputación.",
The view is always worth the climb. | 📷 @mariahh.cannon | Featured pack from the Kestrel/Kyte Series | #OspreyPacks,
"Proven on some of the most iconic thru-hikes around the world, Exos/Eja has become a flagship platform for ultralight backpacking. Your feedback just helped us make it even better. 

+ Adjustable torso length for fine-tuned fit 
+ Dual hipbelt pockets for on-the-move essentials 
+ Internal hydration sleeve for convenient H2O 
+ Additional lash, strap and pole attachments 
+ Sustainable fabrics with improved durability

Check out Exos/Eja for yourself via the link in our bio. #OspreyPacks",
In pursuit of shade. | 📷 @mountain_life20 | Featured pack from the Poco Series | #OspreyPacks,
Spring wildflowers are popping up all over. What local species are you walking among? | 📷 @Samrculley | Featured pack from the Atmos/Aura AG Series | #OspreyPacks,
"⛺🍳 It’s A Camp Kitchen Giveaway 🍳⛺
Glamping gourmands rejoice, we’ve pulled together a dream camp kitchen setup to help fuel your next adventure outdoors. Win over $2,000 in provisions for your inner chef, including cookware, meals and more from @Ospreypacks, @hydroflask, @OXO, @eurekacamping, @PeakRefuel, @KujuCoffee, @SoloStove, @LodgeCastIron and @DirtyGourmet.

Prizes include:
- Two Daylite™ Plus packs and two Daylite™ Waist packs from @Ospreypacks
- One Cooler Pack, two 16oz All Around™ tumblers, two 20oz All Around™ tumblers, one Outdoor Kitchen Set, two 20 oz Insulated Food Jars as well as a 20oz and a 28 oz Insulated Food Jar from @hydroflask
- The ultimate outdoor kitchen collection from @oxo including a 3-piece camp stove utensil set, 5.5 inch Santoku Knife, all-purpose scraper and squeegee, a cast iron grill pan brush, condiment bottles, can and bottle opener and a French press
- An Ignite 2-Burner stove from @eurekacamping
- @PeakRefuel’s Wasatch Pack which includes 60 servings of delicious freeze-dried meals
- A collection of single-serve pocket pour overs from @KujuCoffee
- @SoloStove’s Ranger Portable Fire Pit and stand
- A 4-quart Dutch oven and 5-quart cast iron deep skillet from @LodgeCastIron
- And a camp recipe book by @DirtyGourmet

To enter, simply:
🍳 Like this post and tag a friend you want to cook with.
🍳Follow @Ospreypacks, @hydroflask, @OXO, @eurekacamping, @PeakRefuel, @KujuCoffee, @SoloStove, @LodgeCastIron and @DirtyGourmet.
🍳Head to the link in our bio to enter and get more details.

Giveaway closes Saturday 4/30/22 at 11:59 PM MT. One random winner will be selected and notified by email.
-
This giveaway is not sponsored, endorsed, or administered by Instagram and you must be over 18 years old, and located in the United States, to receive the prize.
#OspreyPacks #giveaway",
"⛺🍳Tomorrow is the FINAL day to enter our Camp Kitchen Giveaway!🍳⛺
We’ve teamed up with some awesome brands on a dream camp kitchen giveaway featuring over $2,000 in prizes!

To enter:
🍳 Like this post and tag a friend you want to cook with.
🍳Follow @Ospreypacks, @hydroflask, @OXO, @eurekacamping, @PeakRefuel, @KujuCoffee, @SoloStove, @LodgeCastIron and @DirtyGourmet.
🍳Head to the link in our bio to enter and get more details.
-
Giveaway closes tomorrow, 4/30/22 at 11:59 PM MT. One random winner will be selected and notified by email.
-
This giveaway is not sponsored, endorsed, or administered by Instagram and you must be over 18 years old, and located in the United States, to receive the prize.
#ospreypacks #giveaway",
"It can be hard to put your finger on what exactly gives you that Mountainfilm feeling. But something about these old festival intros comes very close.

Passes to Mountainfilm 2022 are on sale now! Whether you are able to join us in-person or virtually, both festivals certainly promise to deliver that indescribable soul fire. Get more info at mountainfilm.org - linked in our bio.

📷 @ben_eng_photo

#OspreyPacks #mountainfilm
#mountainfilm2022 #mountainfilmintelluride #mountainfilmonline",
"We all backpack for different reasons. Some people want to escape, disappearing to the most remote of trails. Some want to explore, taking on new trails in exciting places. Some want to share the adventure, traveling with only the best of company. 

No matter what your approach to backpacking is, the new and improved Atmos/Aura AG is here to ease the journey and add to the experience. 

Shop the new Atmos/Aura AG via the link in our bio. #OspreyPacks",
"Your family, your adventures, our design. Thanks for bringing us along for the ride. | 🎥 @dodosoustente | Featured pack from the Poco LT Series | #OspreyPacks",
"🌎 Happy Earth Day! 🌍 

Someday we may get to take the adventure beyond this planet, but we only get one Earth. Together, we can be proud of the work we’re doing to combat the climate crisis and protect our natural resources. 

Our planet is of the utmost importance to us and we view our public lands and their conservation as critical resources for our individual and collective wellbeing. Without deliberate action, we recognize that these resources are under threat. 

As a company, we actively work to reduce our footprint, whether in energy consumed, materials used or waste mitigated while, at the same time, partnering with organizations and non-profits with a proven track record in climate action, environmental hazard reduction, conservation and stewardship. 

Together, we can be proud of the work we’re doing to combat the climate crisis and protect our natural resources.

Head to the link in our bio to learn more about our Climate Action and Environmental Stewardship efforts. #OspreyPacks",
"Come at us, Monday! | 📷 @Oresetaudace| Featured pack from the Atmos/Aura AG Series | #OspreyPacks",
"Kaiyote Snow (@kaiyotetravel) discovered her love of the wilderness in 1997, exploring Rocky Mountain National Park solo with her first-ever backpacking pack—from Osprey. She now guides around the world and while her clients get to use a fleet of new packs, she still favors her original ’97 pack. 

Read Kaiyote's story via the link in our bio and share your own #OldSchoolOsprey packs by tagging us. #OspreyPacks",
"It’s that time of year when slush turns to loam, mud to clay and the dusty trail comes back out to play. Are the trails ready? Because we are. 

Get out and ride this spring with Katari/Kitsuma for a refreshingly minimal carry, or up the ante with the roomier, yet svelte, Siskin/Salida. Take to the trail with all your essentials and leave no trace behind—it’s time to bike. 

Shop our bike packs via the link in our bio. #OspreyPacks",
It’s time to mute your notifications for the weekend and enjoy your time outside. | 🎥 @deneiva.explores | Featured pack from the Manta/Mira Series | #OspreyPacks,
Have you pulled out your mountain bike yet or are you still grasping onto winter? | 📷 @Minii_Adventures | Featured pack from the Raptor/Raven Series | #OspreyPacks,
"Greg Sakowicz (@fatmanlittletrail) is a hiker, writer and podcaster working to break down barriers and encourage more people to get outdoors. His blog, FatManLittleTrail, tackles topics from trail reports and product reviews to food and personal musings—all intended to make the trail more accessible and welcoming for anyone who think they might not belong outdoors. 

Read about Greg's adventure's via the link in our bio. #OspreyPacks",
Name that view! | 📷 @michael_a_james_ | Featured pack from the Stratos/Sirrus | #OspreyPacks,
"Pick your song:
a) Fly Away by Lenny Kravitz
b) Free Bird by Lynyrd Skynyrd
c) Fly Me to the Moon by Frank Sinatra
d) I'm Like a Bird by Nelly Furtado
📷 @hitchedadventurers | Featured pack from the Skarab/Skimmer Series | #OspreyPacks",
"Bike & Build's cross-country and regional bike trips hit the pavement after two years off the road today! The first route to start their journey, Southern U.S., will dip their rear wheels in the Atlantic Ocean in Jacksonville, FL to start a summer of adventure and service. After a summer of riding through epic landmarks of the U.S. and volunteering for affordable housing organizations, riders will dip their front wheel in the Pacific Ocean in Santa Barbara.
 
Follow along with the Bike & Build adventures @bikeandbuild
Consider donating here to support their riders via the link in our bio!

#OspreyPacks #pedalingforaffordablehousing #bikeandbuild #cycling #bikeadventures #volunteering",
"Peaks for breakfast and muffins for lunch, right @madisonnnrose? | #OspreyAthlete | Featured pack from the Mutant Series | #OspreyPacks",
We're fools for a good view. | 📷 @wandering_wongs | Featured packs from the Talon/Tempest Series | #OspreyPacks,
"“If you think you’ve peaked, find a new mountain.” – Unknown | 📷 @cheeky.weka of @runliketanya | Featured pack from the Atmos/Aura AG Series | #OspreyPacks",
"#OspreyAthlete @rayzahab recently attempted to traverse Ellesmere Island. While a change of plans ended up altering his course of action, we certainly hope he's found some sunshine since the return to thaw out his bones and beard. | Featured pack from the Soelden/Sopris Series | #OspreyPacks",
"Sunshine, above treeline, and a view that's mighty fine.| 📷 @aweatherlee | Featured pack from the Poco Plus Series | #OspreyPacks",
Oh the places you’ll go! | 📷 @Jigglyjellojeanz | Featured pack from the Poco Plus Series | #OspreyPacks,
Sunday reminder: you are a small but deeply significant part of this world. Thanks for being here. | 📷 #OspreyAmbassadors @backpackerbhav and @shashankvijayphotos | #OspreyPacks,
"In 2021, we celebrated the reinstatement of Bears Ears National Monument’s boundaries, helping safeguard the rich cultural and physical resources of the region. Since then, more visitors have begun traveling to the area to experience its history, beauty and recreational opportunities—putting pressure on fragile environments and degrading landscapes. 

“… the cultural and physical landscapes are still at great risk of being loved to death.” – @cedarmesafriends

Friends of Cedar Mesa, a conservation non-profit organization based in Bluff, Utah, is launching their Visit with Respect campaign to help educate visitors and protect the greater Bears Ears region from the daily damage caused by increased traffic.

Learn more via the link in our bio. 

📷 John Gregor
Photo description: Aerial view of Comb Ridge, Comb Wash, and Butler Wash. 
 
#OspreyPacks #VisitWithRespect #HonorTribes #ProtectBearsEars #ProtectLivingLandscapes",
“May your dreams be larger than mountains and may you have the courage to scale their summits” – Harley King | 📷 @lucy.gourley | Featured pack from the Hikelite Series | #OspreyPacks,
Dare we say it? It's desert season. | 📷 @thetropicalcompass | #OspreyPacks,
"And just like that, POOF, an adventure appears. | 🎥 @danilstrobel | Featured pack from the Atmos/Aura AG Series | #OspreyPacks",
What a way to greet the day! | 📷 @activateyogauk | Featured pack from the Atmos/Aura AG Series | #OspreyPacks,
Glissading season is upon us. Make sure you navigate snow fields and glaciers safely this spring and have a blast. | 📷 @stevenmortinson of #OspreyAthlete @rachelraedrake | Featured pack from the Talon/Tempest Pro Series | #OspreyPacks,
"Leave your baggage behind and pack for adventure with the Farpoint/Fairview Family. Promising mobility and versatility—from white sands to mountain peaks, rugged forests to cobbled streets—these lightweight, technical trek packs and convertible, wheeled travel packs encourage spontaneity and exploration wherever you take them. 

Go boldly. | Shop the Farpoint/Fairview Family via the link in our bio

#OspreyPacks",
"#RunHikeBike2022 GIVEAWAY
Any day, anyway, any distance, solo, or in a group. The outdoor community is unifying across the country, joining together in person and on social media using #RunHikeBike2022
Show us how you share the trail and come together outside.
Hashtag #RunHikeBike2022 between March 15 and April 15 and be automatically entered to win this awesome prize package from the #RunHikeBike2022 team.
 
Bonus entry if you follow: 
@ridecannondale
@vasquefootwear
@marmot
@biolite
@smartwool
@ospreypacks
@oiselle
@insolidarityproject
 
Giveaway closes April 15. Winner contacted and announced prior to April 22.
Tagging #RunHikeBIke2022 automatically enters you into the brand giveaway, eligible to participants over 18 years of age in the United States.

Learn more about #RunHikeBike2022 at the link in our bio!

#OspreyPacks",
"""The earth is what we all have in common."" — Wendell Berry | 📷 @gj94ek_tw | Featured pack from the Kestrel/Kyte Series | #OspreyPacks",
"“You keep putting one foot in front of the other, and then one day you look back and you’ve climbed a mountain.” – Tom Hiddleston| 📷 @Tony.b.photography | Featured pack from the Talon/Tempest Series | #OspreyPacks",
The photo that could unlock a core memory when they're older. | 📷 @omaandjo | Featured pack from the Poco Plus Series | #OspreyPacks,
"When you’ve made it back to the trailhead, with miles of adventure at your back and a lifetime of memories to carry with you, what do you want to remember most? Maybe it’s the peak you conquered, the wildlife you saw or the conversations you shared along the way. 

Whatever it is, we know your memories shouldn’t be sullied by awkward gear that just doesn’t fit. That’s why we developed Aether™ | Ariel to be the most customizable and calibrated backpacking pack for a lifetime of comfort and convenience. 

Shop Aether™ | Ariel via the link in our bio.

#OspreyPacks",
Surround yourself with people and pets who make for good company on and off the trail.| 📷 @kali.collie & @lehtojenna | Featured pack from the Stratos/Sirrus Series | #OspreyPacks,
"Welcome to Osprey UNLTD™, the bleeding edge of backpacking design, comfort and engineering. Founder Mike Pfotenhauer and the Osprey innovation team have realized the future of backpacking with the industry’s first 3D printed lumbar, applied to our most advanced silhouette to-date. | Discover Osprey UNLTD. Link in our bio.

The future is here. | #OspreyPacks #OspreyUNLTD",
"Forget what you know about backpack suspension, we’re about to rewrite the rule book. Nearly 50 years of innovation has led to this moment. Are you ready? 3.15.2022 | Sign up for the launch. Link in our bio. 

The future is unlimited. | #OspreyPacks",
"Last year, Shawn Drennan joined Over 50 Outside, a group of 150 women taking on the @52HikeChallenge with the support of Osprey and its program partners. When she signed up, she thought it would just offer some accountability to help her go outdoors more often. Along the way, it’s helped her grow outdoors too. 

Read Drennan’s Story via the link in our bio!

📷 Shawn Drennan | #OspreyPacks #EndBrainCancer #Over50Outside #52HikeChallenge",
"We were never here to follow. See where we’re going next. 3.15.2022 | Sign up for the launch. Link in our bio. 

The potential is unlimited. | #OspreyPacks",
"We’re here to define the next era of backpacking, abandoning the boundaries of traditional manufacturing and design. 3.15.2022 | Sign up for the launch. Link in our bio.

The possibility is unlimited. | #OspreyPacks",
"We'd like to introduce you to our Four Pillars of Philanthropic Focus today.

As leaders in our industry and the stewards of our values, we are proud to form meaningful partnerships toward non-profit causes across four key pillars. These pillars help align our vision, focus our impact and define the organizations we support through corporate philanthropy.

🌍 Climate Action and Environmental Stewardship
🧡 Diversity, Equity and Inclusion Outdoors
🌳  Outdoor Recreation and Education
🤝 Building Stronger Communities

We invite you to take a closer look at these initiatives and why we chose these pillars via the link in our bio.

#OspreyPacks",
What are your favorite dog-friendly trails to hike where you are from? Asking for our best friend. | 📷 @ashley.goes.hiking | Featured pack from the Stratos/Sirrus Series | #OspreyPacks,
The best of both worlds. | 📷 @articstudios | Featured pack from the Poco Plus Series | #OspreyPacks,
"You deserve to feel joy: bursting heart, cramped cheek muscles, felt in your bones joy. | 📷 @sandi.oluoch | Featured pack from the 24/7 Series | #OspreyPacks",
What will you do with those extra hours of light in the evening? | 📷 #OspreyAmbassador @marynsimrak | Featured pack from the Aether/Ariel Plus Series | #OspreyPacks,
Let yourself indulge in the cooler temps before summer comes. You'll be longing for them again in no time. | 📷 by @mbark_on_adventures of @mkandthemountains | Featured pack from the Kestrel/Kyte Series | #OspreyPacks,
"""The only way to make sense out of change is to plunge into it, move with it, and join the dance."" - Alan Watts| 📷 @katemcd0nald | Featured pack from the Poco Plus Series | #OspreyPacks",
"From two small towns in northwest Texas, Heather and Jahmicah Dawes both grew up with different, but important experiences in the outdoors. While the great outdoors played a big part in their lives, one of the many threads that weave Heather and Jahmicah together is their shared sense of community. Both prioritizing inclusivity in the outdoors and the outdoor industry, they set out on a journey that would become one of the most memorable roller coasters of their lives. 

Today, we join Heather and Jahmicah Dawes in celebrating their 5th anniversary of @spoutfitter. Slim Pickins Outfitters (SPO)—the first Black-owned, independent outdoor retailer in the nation—can be found on the corner of Washington St. and Belknap Ave in Stephenville, Texas. It’s a place where anyone is welcome, and serves as far more than just a gear shop.

Read more about their journey and future via the link in our bio and drop a comment below to join in the celebration!

📷 @twerkinthedirt #OspreyPacks",
"Hey siri, play ""Here Comes the Sun"" by the Beatles. | 📷 @danimarielister | Featured pack from the Talon/Tempest Series | #OspreyPacks",
"In September of 2021, #OspreyAthlete Payson McElveen (@paysonmcelveen) set out to cross Iceland from coast to coast, north to south, in a single push by bike. Overcoming over 250 miles of breathtaking and volatile landscape without support, it took nearly 20 hours to complete—and pushed him to his physical, mental and emotional limits. Along the way, he unlocked a new part of himself which helped to propel him to the finish. 

Read Payson's reflection via the link in our bio. 
📷 @evanruderman | #OspreyPacks",
"You're most likely one of two types of people:
A) Crossing your fingers for another big storm to cover the peaks.
B) Counting down the days until summer weather.

📷 #OspreyAthlete @madisonnnrose | Featured pack from the Soelden/Sopris Pro Series | #OspreyPacks",
Sunday scaries don't stand a chance against a little quality time outside. | 📷 @lucy.gourley | Featured pack from the Hikelite Series | #OspreyPacks,
Don't forget to switch it up and look a the world through a different view point. | 📷 #OspreyAmbassador @vincentschnabl | Featured pack from the Kamber/Kresta Series | #OspreyPacks,
“Life is either a daring adventure or nothing at all.” — Helen Keller | 📷 @killaexpeditions | Featured pack from the Exos/Eja Series | #OspreyPacks,
"""It is only in sorrow bad weather masters us; in joy we face the storm and defy it."" - Amelia Barr | 📷 @molly_themolly | Featured pack from the Atmos/Aura AG Series | #OspreyPacks",
"Osprey dealer Slim Pickins Outfitters is the first Black-owned gear shop in the United States, located in Stephenville, TX. This month, owners and partners, Jahmicah and Heather have created a limited collection of apparel aptly named: SPO x BHM Collection.The line celebrates Black History Month, coincides with their 5th anniversary, and is currently available on their website.

“The collection is our new logo in the pan African flag colors. There is also an homage to my West Indian Jamaican Heritage that is reflected on the color of the actual apparel (Yellow Tee, Green Crewneck Pullover, Black Hoodie/colors of the Jamaican Flag).” - Jahmicah Dawes, President and Creative Director of @spoutfitter

Shop the SPO X BHM Collection via the link in our bio and give @spoutfitter a follow.

#OspreyPacks",
"On Wednesdays, we wear Ruska Purple. | 📷 @lau_pell | Featured pack from the Stratos/Sirrus Series | #OspreyPacks",
"It’s been a blast following all of our Ambassadors' adventures over the last year and we'd like to thank them all.

Applications are still open to be an #OspreyAmbassador for 2022! Though our Ambassadors come from a wide range of backgrounds and experience, one theme that unifies them all is their passion for giving back to the communities that have helped shape and support them. 

Is that you? If so, head to the link in our bio to apply!

Please note: applicants must be at least 18 years old, and located in the United States or Canada, to be considered.

Featured #OspreyAmbassadors: @sol_sister_ascending  @backpackerbhav @gregorylum  @travelwithirine @elizasampey @eric_pichardo @marynsimrak @sol_sister_ascending

#OspreyPacks",
"This one’s for the women staking their claim to adventures here, there and everywhere. To those who inspire us, teach us and lead us every day—from board rooms to the backcountry. 

Your impact is seen, heard and felt. Your stories, essential. This one’s for you, today and always. 

Shop our women specific packs via the link in our bio. #OspreyPacks",
"If you’re anything like us, there’s only one thing that keeps our appetites for backpacking sated through the off season: research. From trail maps and trip reports to meal plans and gear reviews, we become gluttons for information to fuel our anticipation. Thanks to @TheTrek.co’s annual AT Thru-Hiker Survey, we’ve got a full course meal to consume. That a few of our favorite packs made it on their “Best Backpacks for Thru-Hiking of 2022” is icing on the cake, too.

Check out all our backpacking packs at the link in our bio.

#OspreyPacks",
"What's your love language?
A: Physical Touch - a massage for your sore muscles at the end of the day
B: Quality Time - a day in the mountains together
C: Words of Affirmation - cheering along others as they push through
D: Acts of Service - carrying each other over ice cold streams
E: Gift Giving - a new Osprey pack

Happy Valentines Day, friends. Let love be whatever you need it to be.

#OspreyAthletes @rachelraedrake and @narrowgreenarrow
📷 @stevenmortinson | #OspreyPacks",
"*Sigh* You did it, you made it to the weekend! Take a deep breath, pull out a map, and grab your loved ones for some much deserved time outside. | 📷 @miamurr | Featured pack from the Poco Series | #OspreyPacks",
Bootpacks are better with the Osprey Kamber/Kresta pack. The rest is up to you. | 📷 #OspreyAthlete @sbrunso | #OspreyPacks,
"No matter what your day has in store, there’s a pack ready to help you make the most of it. From the sensible and understated to the colorful and creative, the options are endless. The potential? Limitless. 

Shop our Lifestyle packs via the link in our bio. #OspreyPacks",
"We're seeking a diverse group of individuals to join the Osprey Ambassador Program to help champion our brand, values and philanthropic initiatives.

Our Ambassadors are a natural extension of the Osprey family. They represent a wide variety of backgrounds and outdoor disciplines—from hiking to photography to travel—and are chosen based on their ability to share their enthusiasm for the outdoors, motivate their audiences to share in the adventure, and use their unique voice to advocate for the protection and preservation of the places we recreate.

Some of our Ambassadors are elite athletes while others are globetrotters, community builders or industry influencers. All are our friends. Though our Ambassadors come from a wide range of backgrounds and experience, one theme that unifies them all is their passion for giving back to the communities that have helped shape and support them. 

Are you ready to become an Ambassador? Apply through the link in our bio!

Please note: applicants must be at least 18 years old, and located in the United States or Canada, to be considered.

📷 #OspreyAmbassadors @eric__pichardo and @gregorylum

#OspreyPacks #OspreyAmbassadors",
